Date,local_new_case,local_new_death,total_case,total_death
2020-04-26,30,0,,
2020-04-27,30,0,,
2020-04-28,30,0,,
2020-04-29,29,0,,
2020-04-30,28,0,,
2020-05-01,27,0,,
2020-05-02,26,0,,
2020-05-03,24,0,,
2020-05-04,23,0,,
2020-05-05,21,0,,
2020-05-06,20,0,,
2020-05-07,19,0,,
2020-05-08,18,0,,
2020-05-09,17,0,,
2020-05-10,17,0,,
2020-05-11,17,0,,
2020-05-12,17,0,,
2020-05-13,18,0,,
2020-05-14,19,0,,
2020-05-15,21,0,,
2020-05-16,23,0,,
2020-05-17,25,0,,
2020-05-18,28,0,,
2020-05-19,31,0,,
2020-05-20,34,0,,
2020-05-21,36,0,,
2020-05-22,39,0,,
2020-05-23,42,0,,
2020-05-24,44,0,,
2020-05-25,46,0,,
2020-05-26,47,0,,
2020-05-27,48,0,,
2020-05-28,48,0,,
2020-05-29,48,0,,
2020-05-30,47,0,,
2020-05-31,45,0,,
2020-06-01,43,0,,
2020-06-02,40,0,,
2020-06-03,38,0,,
2020-06-04,35,0,,
2020-06-05,31,0,,
2020-06-06,28,0,,
2020-06-07,25,0,,
2020-06-08,22,0,,
2020-06-09,19,0,,
2020-06-10,16,0,,
2020-06-11,13,0,,
2020-06-12,11,0,,
2020-06-13,9,0,,
2020-06-14,7,0,,
2020-06-15,6,0,,
2020-06-16,4,0,,
2020-06-17,4,0,,
2020-06-18,3,0,,
2020-06-19,3,0,,
2020-06-20,3,0,,
2020-06-21,3,0,,
2020-06-22,3,0,,
2020-06-23,4,0,,
2020-06-24,5,0,,
2020-06-25,6,0,,
2020-06-26,8,0,,
2020-06-27,10,0,,
2020-06-28,12,0,,
2020-06-29,14,0,,
2020-06-30,17,0,,
2020-07-01,20,0,,
2020-07-02,23,0,,
2020-07-03,27,0,,
2020-07-04,30,0,,
2020-07-05,33,0,,
2020-07-06,36,0,,
2020-07-07,38,0,,
2020-07-08,41,0,,
2020-07-09,42,0,,
2020-07-10,43,0,,
2020-07-11,43,0,,
2020-07-12,43,0,,
2020-07-13,42,0,,
2020-07-14,40,0,,
2020-07-15,38,0,,
2020-07-16,35,0,,
2020-07-17,32,0,,
2020-07-18,29,0,,
2020-07-19,26,0,,
2020-07-20,22,0,,
2020-07-21,19,0,,
2020-07-22,16,0,,
2020-07-23,14,0,,
2020-07-24,11,0,,
2020-07-25,9,0,,
2020-07-26,7,0,,
2020-07-27,6,0,,
2020-07-28,4,0,,
2020-07-29,3,0,,
2020-07-30,3,0,,
2020-07-31,2,0,,
2020-08-01,2,0,,
2020-08-02,2,0,,
2020-08-03,2,0,,
2020-08-04,2,0,,
2020-08-05,2,0,,
2020-08-06,2,0,,
2020-08-07,2,0,,
2020-08-08,3,0,,
2020-08-09,3,0,,
2020-08-10,4,0,,
2020-08-11,4,0,,
2020-08-12,4,0,,
2020-08-13,5,0,,
2020-08-14,5,0,,
2020-08-15,6,0,,
2020-08-16,6,0,,
2020-08-17,7,0,,
2020-08-18,7,0,,
2020-08-19,8,0,,
2020-08-20,8,0,,
2020-08-21,9,0,,
2020-08-22,9,0,,
2020-08-23,10,0,,
2020-08-24,10,0,,
2020-08-25,11,0,,
2020-08-26,12,0,,
2020-08-27,12,0,,
2020-08-28,13,0,,
2020-08-29,13,0,,
2020-08-30,13,0,,
2020-08-31,14,0,,
2020-09-01,14,0,,
2020-09-02,14,0,,
2020-09-03,14,0,,
2020-09-04,14,0,,
2020-09-05,13,0,,
2020-09-06,13,0,,
2020-09-07,12,0,,
2020-09-08,12,0,,
2020-09-09,11,0,,
2020-09-10,10,0,,
2020-09-11,10,0,,
2020-09-12,9,0,,
2020-09-13,8,0,,
2020-09-14,7,0,,
2020-09-15,6,0,,
2020-09-16,6,0,,
2020-09-17,5,0,,
2020-09-18,5,0,,
2020-09-19,5,0,,
2020-09-20,6,0,,
2020-09-21,7,0,,
2020-09-22,9,0,,
2020-09-23,12,0,,
2020-09-24,15,0,,
2020-09-25,18,0,,
2020-09-26,23,0,,
2020-09-27,28,0,,
2020-09-28,34,0,,
2020-09-29,40,0,,
2020-09-30,47,0,,
2020-10-01,54,0,,
2020-10-02,62,0,,
2020-10-03,69,0,,
2020-10-04,77,0,,
2020-10-05,84,0,,
2020-10-06,91,0,,
2020-10-07,99,0,,
2020-10-08,106,0,,
2020-10-09,113,0,,
2020-10-10,121,0,,
2020-10-11,130,0,,
2020-10-12,140,0,,
2020-10-13,151,0,,
2020-10-14,163,0,,
2020-10-15,177,0,,
2020-10-16,193,0,,
2020-10-17,210,0,,
2020-10-18,229,0,,
2020-10-19,248,0,,
2020-10-20,269,0,,
2020-10-21,289,0,,
2020-10-22,310,0,,
2020-10-23,330,0,,
2020-10-24,349,0,,
2020-10-25,367,0,,
2020-10-26,383,0,,
2020-10-27,397,0,,
2020-10-28,409,0,,
2020-10-29,420,0,,
2020-10-30,428,1,,
2020-10-31,434,1,,
2020-11-01,439,1,,
2020-11-02,443,1,,
2020-11-03,445,1,,
2020-11-04,446,1,,
2020-11-05,446,2,,
2020-11-06,446,2,,
2020-11-07,445,2,,
2020-11-08,444,2,,
2020-11-09,442,2,,
2020-11-10,440,2,,
2020-11-11,438,3,,
2020-11-12,436,3,,
2020-11-13,435,3,,
2020-11-14,433,3,,
2020-11-15,433,3,,
2020-11-16,433,3,,
2020-11-17,433,3,,
2020-11-18,435,3,,
2020-11-19,439,3,,
2020-11-20,443,4,,
2020-11-21,450,4,,
2020-11-22,458,4,,
2020-11-23,467,4,,
2020-11-24,479,4,,
2020-11-25,491,3,,
2020-11-26,505,3,,
2020-11-27,520,3,,
2020-11-28,536,3,,
2020-11-29,553,3,,
2020-11-30,569,3,,
2020-12-01,586,3,,
2020-12-02,602,3,,
2020-12-03,617,3,,
2020-12-04,630,3,,
2020-12-05,643,3,,
2020-12-06,653,2,,
2020-12-07,662,2,,
2020-12-08,668,2,,
2020-12-09,672,2,,
2020-12-10,674,2,,
2020-12-11,674,2,,
2020-12-12,671,2,,
2020-12-13,667,2,,
2020-12-14,661,2,,
2020-12-15,653,2,,
2020-12-16,644,2,,
2020-12-17,634,2,,
2020-12-18,624,2,,
2020-12-19,613,2,,
2020-12-20,601,2,,
2020-12-21,590,2,,
2020-12-22,580,2,,
2020-12-23,570,2,,
2020-12-24,560,2,,
2020-12-25,551,2,,
2020-12-26,544,2,,
2020-12-27,537,2,,
2020-12-28,530,2,,
2020-12-29,525,2,,
2020-12-30,522,2,,
2020-12-31,519,2,,
2021-01-01,518,2,,
2021-01-02,518,3,,
2021-01-03,520,3,,
2021-01-04,524,3,,
2021-01-05,529,3,,
2021-01-06,536,3,,
2021-01-07,545,3,,
2021-01-08,556,3,,
2021-01-09,568,3,,
2021-01-10,582,3,,
2021-01-11,597,3,,
2021-01-12,612,3,,
2021-01-13,628,3,,
2021-01-14,645,3,,
2021-01-15,662,3,,
2021-01-16,678,3,,
2021-01-17,694,3,,
2021-01-18,710,3,,
2021-01-19,724,3,,
2021-01-20,738,3,,
2021-01-21,751,3,,
2021-01-22,763,3,,
2021-01-23,774,3,,
2021-01-24,784,3,,
2021-01-25,792,4,,
2021-01-26,800,4,,
2021-01-27,807,4,,
2021-01-28,814,4,,
2021-01-29,819,4,,
2021-01-30,824,4,,
2021-01-31,829,5,,
2021-02-01,832,5,,
2021-02-02,835,5,,
2021-02-03,838,5,,
2021-02-04,839,5,,
2021-02-05,840,5,,
2021-02-06,839,5,,
2021-02-07,836,5,,
2021-02-08,831,6,,
2021-02-09,824,6,,
2021-02-10,815,6,,
2021-02-11,803,6,,
2021-02-12,788,6,,
2021-02-13,771,6,,
2021-02-14,750,6,,
2021-02-15,728,6,,
2021-02-16,703,5,,
2021-02-17,677,5,,
2021-02-18,650,5,,
2021-02-19,622,5,,
2021-02-20,593,5,,
2021-02-21,565,5,,
2021-02-22,538,5,,
2021-02-23,511,5,,
2021-02-24,486,4,,
2021-02-25,462,4,,
2021-02-26,440,4,,
2021-02-27,420,4,,
2021-02-28,402,4,,
2021-03-01,386,4,,
2021-03-02,372,4,,
2021-03-03,360,4,,
2021-03-04,350,4,,
2021-03-05,341,4,,
2021-03-06,335,3,,
2021-03-07,329,3,,
2021-03-08,325,3,,
2021-03-09,322,3,,
2021-03-10,320,3,,
2021-03-11,319,3,,
2021-03-12,318,3,,
2021-03-13,317,3,,
2021-03-14,317,3,,
2021-03-15,316,3,,
2021-03-16,316,2,,
2021-03-17,315,2,,
2021-03-18,313,2,,
2021-03-19,311,2,,
2021-03-20,307,2,,
2021-03-21,303,2,,
2021-03-22,298,2,,
2021-03-23,292,2,,
2021-03-24,285,2,,
2021-03-25,277,2,,
2021-03-26,268,2,,
2021-03-27,259,2,,
2021-03-28,249,2,,
2021-03-29,238,2,,
2021-03-30,228,2,,
2021-03-31,217,2,,
2021-04-01,206,2,,
2021-04-02,197,2,,
2021-04-03,187,2,,
2021-04-04,179,2,,
2021-04-05,172,2,,
2021-04-06,167,2,,
2021-04-07,164,2,,
2021-04-08,164,2,,
2021-04-09,166,2,,
2021-04-10,173,2,,
2021-04-11,183,2,,
2021-04-12,198,2,,
2021-04-13,219,2,,
2021-04-14,246,2,,
2021-04-15,279,2,,
2021-04-16,319,2,,
2021-04-17,366,2,,
2021-04-18,421,2,,
2021-04-19,483,2,,
2021-04-20,553,3,,
2021-04-21,629,3,,
2021-04-22,711,3,,
2021-04-23,799,4,,
2021-04-24,892,4,,
2021-04-25,988,5,,
2021-04-26,1087,5,,
2021-04-27,1188,6,,
2021-04-28,1290,7,,
2021-04-29,1392,8,,
2021-04-30,1493,8,,
2021-05-01,1592,9,,
2021-05-02,1689,10,,
2021-05-03,1782,11,,
2021-05-04,1873,13,,
2021-05-05,1960,14,,
2021-05-06,2043,15,,
2021-05-07,2123,16,,
2021-05-08,2200,17,,
2021-05-09,2272,18,,
2021-05-10,2342,19,,
2021-05-11,2407,20,,
2021-05-12,2470,22,,
2021-05-13,2529,23,,
2021-05-14,2586,24,,
2021-05-15,2639,25,,
2021-05-16,2689,25,,
2021-05-17,2735,26,,
2021-05-18,2778,27,,
2021-05-19,2816,28,,
2021-05-20,2851,29,,
2021-05-21,2881,30,,
2021-05-22,2907,31,,
2021-05-23,2928,31,,
2021-05-24,2946,32,,
2021-05-25,2961,33,,
2021-05-26,2972,34,,
2021-05-27,2981,35,,
2021-05-28,2986,37,,
2021-05-29,2988,38,,
2021-05-30,2987,39,,
2021-05-31,2983,41,,
2021-06-01,2974,43,,
2021-06-02,2962,44,,
2021-06-03,2944,46,,
2021-06-04,2923,48,,
2021-06-05,2896,50,,
2021-06-06,2865,51,,
2021-06-07,2829,53,,
2021-06-08,2790,55,,
2021-06-09,2747,56,,
2021-06-10,2701,58,,
2021-06-11,2653,59,,
2021-06-12,2604,60,,
2021-06-13,2552,60,,
2021-06-14,2500,61,,
2021-06-15,2447,61,,
2021-06-16,2393,60,,
2021-06-17,2340,60,,
2021-06-18,2286,59,,
2021-06-19,2231,58,,
2021-06-20,2177,57,,
2021-06-21,2123,56,,
2021-06-22,2069,55,,
2021-06-23,2015,53,,
2021-06-24,1961,52,,
2021-06-25,1908,50,,
2021-06-26,1855,49,,
2021-06-27,1803,47,,
2021-06-28,1751,46,,
2021-06-29,1702,45,,
2021-06-30,1654,43,,
2021-07-01,1609,42,,
2021-07-02,1567,41,,
2021-07-03,1528,40,,
2021-07-04,1493,39,,
2021-07-05,1463,39,,
2021-07-06,1438,38,,
2021-07-07,1418,38,,
2021-07-08,1403,37,,
2021-07-09,1393,37,,
2021-07-10,1387,37,,
2021-07-11,1387,37,,
2021-07-12,1390,37,,
2021-07-13,1397,37,,
2021-07-14,1408,37,,
2021-07-15,1422,37,,
2021-07-16,1440,38,,
2021-07-17,1461,38,,
2021-07-18,1486,39,,
2021-07-19,1514,40,,
2021-07-20,1546,40,,
2021-07-21,1582,41,,
2021-07-22,1622,43,,
2021-07-23,1667,44,,
2021-07-24,1717,45,,
2021-07-25,1772,47,,
2021-07-26,1832,49,,
2021-07-27,1898,52,,
2021-07-28,1970,55,,
2021-07-29,2049,58,,
2021-07-30,2135,61,,
2021-07-31,2227,65,,
2021-08-01,2327,69,,
2021-08-02,2434,74,,
2021-08-03,2548,79,,
2021-08-04,2670,85,,
2021-08-05,2799,90,,
2021-08-06,2934,96,,
2021-08-07,3074,103,,
2021-08-08,3220,109,,
2021-08-09,3368,116,,
2021-08-10,3518,123,,
2021-08-11,3668,130,,
2021-08-12,3815,137,,
2021-08-13,3958,144,,
2021-08-14,4095,151,,
2021-08-15,4224,157,,
2021-08-16,4342,164,,
2021-08-17,4447,170,,
2021-08-18,4537,175,,
2021-08-19,4611,181,,
2021-08-20,4666,186,,
2021-08-21,4703,190,,
2021-08-22,4721,194,,
2021-08-23,4720,197,,
2021-08-24,4701,199,,
2021-08-25,4664,201,,
2021-08-26,4611,203,,
2021-08-27,4542,204,,
2021-08-28,4459,204,,
2021-08-29,4364,203,,
2021-08-30,4257,202,,
2021-08-31,4141,201,,
2021-09-01,4018,198,,
2021-09-02,3890,195,,
2021-09-03,3757,192,,
2021-09-04,3622,188,,
2021-09-05,3485,184,,
2021-09-06,3349,179,,
2021-09-07,3214,174,,
2021-09-08,3080,168,,
2021-09-09,2948,162,,
2021-09-10,2818,156,,
2021-09-11,2690,150,,
2021-09-12,2565,144,,
2021-09-13,2442,138,,
2021-09-14,2322,131,,
2021-09-15,2204,125,,
2021-09-16,2089,119,,
2021-09-17,1976,112,,
2021-09-18,1867,106,,
2021-09-19,1761,100,,
2021-09-20,1658,95,,
2021-09-21,1561,90,,
2021-09-22,1468,84,,
2021-09-23,1380,80,,
2021-09-24,1298,75,,
2021-09-25,1221,71,,
2021-09-26,1151,67,,
2021-09-27,1086,63,,
2021-09-28,1028,59,,
2021-09-29,975,56,,
2021-09-30,928,53,,
2021-10-01,886,50,,
2021-10-02,850,47,,
2021-10-03,817,44,,
2021-10-04,789,42,,
2021-10-05,764,40,,
2021-10-06,742,38,,
2021-10-07,722,36,,
2021-10-08,704,34,,
2021-10-09,688,32,,
2021-10-10,673,30,,
2021-10-11,659,29,,
2021-10-12,646,28,,
2021-10-13,633,26,,
2021-10-14,621,25,,
2021-10-15,609,24,,
2021-10-16,598,24,,
2021-10-17,587,23,,
2021-10-18,577,22,,
