Date,local_new_case,local_new_death,total_case,total_death
2020-07-01,21,0,,
2020-07-02,24,0,,
2020-07-03,27,0,,
2020-07-04,30,0,,
2020-07-05,32,0,,
2020-07-06,35,0,,
2020-07-07,37,0,,
2020-07-08,39,0,,
2020-07-09,40,0,,
2020-07-10,41,0,,
2020-07-11,42,0,,
2020-07-12,41,0,,
2020-07-13,40,0,,
2020-07-14,39,0,,
2020-07-15,37,0,,
2020-07-16,34,0,,
2020-07-17,32,0,,
2020-07-18,29,0,,
2020-07-19,26,0,,
2020-07-20,23,0,,
2020-07-21,20,0,,
2020-07-22,18,0,,
2020-07-23,15,0,,
2020-07-24,13,0,,
2020-07-25,10,0,,
2020-07-26,9,0,,
2020-07-27,7,0,,
2020-07-28,5,0,,
2020-07-29,4,0,,
2020-07-30,3,0,,
2020-07-31,3,0,,
2020-08-01,2,0,,
2020-08-02,2,0,,
2020-08-03,1,0,,
2020-08-04,1,0,,
2020-08-05,1,0,,
2020-08-06,2,0,,
2020-08-07,2,0,,
2020-08-08,2,0,,
2020-08-09,3,0,,
2020-08-10,3,0,,
2020-08-11,4,0,,
2020-08-12,4,0,,
2020-08-13,4,0,,
2020-08-14,5,0,,
2020-08-15,6,0,,
2020-08-16,6,0,,
2020-08-17,7,0,,
2020-08-18,7,0,,
2020-08-19,8,0,,
2020-08-20,8,0,,
2020-08-21,9,0,,
2020-08-22,10,0,,
2020-08-23,10,0,,
2020-08-24,11,0,,
2020-08-25,11,0,,
2020-08-26,12,0,,
2020-08-27,12,0,,
2020-08-28,13,0,,
2020-08-29,13,0,,
2020-08-30,13,0,,
2020-08-31,14,0,,
2020-09-01,14,0,,
2020-09-02,14,0,,
2020-09-03,13,0,,
2020-09-04,13,0,,
2020-09-05,13,0,,
2020-09-06,12,0,,
2020-09-07,12,0,,
2020-09-08,11,0,,
2020-09-09,11,0,,
2020-09-10,10,0,,
2020-09-11,9,0,,
2020-09-12,8,0,,
2020-09-13,8,0,,
2020-09-14,7,0,,
2020-09-15,6,0,,
2020-09-16,6,0,,
2020-09-17,6,0,,
2020-09-18,6,0,,
2020-09-19,6,0,,
2020-09-20,7,0,,
2020-09-21,8,0,,
2020-09-22,10,0,,
2020-09-23,13,0,,
2020-09-24,15,0,,
2020-09-25,19,0,,
2020-09-26,23,0,,
2020-09-27,28,0,,
2020-09-28,33,0,,
2020-09-29,39,0,,
2020-09-30,45,0,,
2020-10-01,52,0,,
2020-10-02,59,0,,
2020-10-03,66,0,,
2020-10-04,74,0,,
2020-10-05,81,0,,
2020-10-06,89,0,,
2020-10-07,97,0,,
2020-10-08,105,0,,
2020-10-09,114,0,,
2020-10-10,123,0,,
2020-10-11,133,0,,
2020-10-12,144,0,,
2020-10-13,155,0,,
2020-10-14,169,0,,
2020-10-15,183,0,,
2020-10-16,198,0,,
2020-10-17,215,0,,
2020-10-18,233,0,,
2020-10-19,252,0,,
2020-10-20,271,0,,
2020-10-21,291,0,,
2020-10-22,310,0,,
2020-10-23,329,0,,
2020-10-24,347,0,,
2020-10-25,363,0,,
2020-10-26,379,0,,
2020-10-27,392,0,,
2020-10-28,404,0,,
2020-10-29,414,0,,
2020-10-30,423,1,,
2020-10-31,430,1,,
2020-11-01,435,1,,
2020-11-02,439,1,,
2020-11-03,442,1,,
2020-11-04,443,1,,
2020-11-05,444,2,,
2020-11-06,444,2,,
2020-11-07,444,2,,
2020-11-08,443,2,,
2020-11-09,441,2,,
2020-11-10,440,2,,
2020-11-11,438,3,,
2020-11-12,437,3,,
2020-11-13,435,3,,
2020-11-14,434,3,,
2020-11-15,434,3,,
2020-11-16,435,3,,
2020-11-17,436,3,,
2020-11-18,439,3,,
2020-11-19,442,3,,
2020-11-20,448,3,,
2020-11-21,454,3,,
2020-11-22,462,3,,
2020-11-23,472,3,,
2020-11-24,483,3,,
2020-11-25,495,3,,
2020-11-26,509,3,,
2020-11-27,523,3,,
2020-11-28,538,3,,
2020-11-29,554,3,,
2020-11-30,569,3,,
2020-12-01,585,3,,
2020-12-02,600,3,,
2020-12-03,614,3,,
2020-12-04,626,3,,
2020-12-05,638,3,,
2020-12-06,648,3,,
2020-12-07,656,2,,
2020-12-08,662,2,,
2020-12-09,666,2,,
2020-12-10,668,2,,
2020-12-11,669,2,,
2020-12-12,667,2,,
2020-12-13,663,2,,
2020-12-14,658,2,,
2020-12-15,651,2,,
2020-12-16,642,2,,
2020-12-17,633,2,,
2020-12-18,623,2,,
2020-12-19,613,2,,
2020-12-20,602,2,,
2020-12-21,592,2,,
2020-12-22,581,2,,
2020-12-23,571,2,,
2020-12-24,562,2,,
2020-12-25,553,2,,
2020-12-26,545,2,,
2020-12-27,538,2,,
2020-12-28,532,2,,
2020-12-29,527,2,,
2020-12-30,523,2,,
2020-12-31,521,2,,
2021-01-01,520,2,,
2021-01-02,520,3,,
2021-01-03,522,3,,
2021-01-04,526,3,,
2021-01-05,531,3,,
2021-01-06,538,3,,
2021-01-07,547,3,,
2021-01-08,557,3,,
2021-01-09,569,3,,
2021-01-10,582,3,,
2021-01-11,596,3,,
2021-01-12,611,3,,
2021-01-13,627,3,,
2021-01-14,643,3,,
2021-01-15,659,3,,
2021-01-16,675,3,,
2021-01-17,691,3,,
2021-01-18,706,3,,
2021-01-19,721,3,,
2021-01-20,735,3,,
2021-01-21,748,3,,
2021-01-22,761,3,,
2021-01-23,772,3,,
2021-01-24,783,4,,
2021-01-25,793,4,,
2021-01-26,801,4,,
2021-01-27,809,4,,
2021-01-28,816,4,,
2021-01-29,822,4,,
2021-01-30,828,4,,
2021-01-31,832,5,,
2021-02-01,836,5,,
2021-02-02,838,5,,
2021-02-03,840,5,,
2021-02-04,841,5,,
2021-02-05,840,5,,
2021-02-06,838,5,,
2021-02-07,834,5,,
2021-02-08,828,5,,
2021-02-09,820,6,,
2021-02-10,809,6,,
2021-02-11,797,6,,
2021-02-12,781,6,,
2021-02-13,764,6,,
2021-02-14,744,6,,
2021-02-15,722,6,,
2021-02-16,698,5,,
2021-02-17,673,5,,
2021-02-18,647,5,,
2021-02-19,620,5,,
2021-02-20,593,5,,
2021-02-21,566,5,,
2021-02-22,540,5,,
2021-02-23,514,5,,
2021-02-24,490,5,,
2021-02-25,466,4,,
2021-02-26,445,4,,
2021-02-27,425,4,,
2021-02-28,407,4,,
2021-03-01,391,4,,
2021-03-02,376,4,,
2021-03-03,364,4,,
2021-03-04,353,4,,
2021-03-05,344,4,,
2021-03-06,337,3,,
2021-03-07,331,3,,
2021-03-08,327,3,,
2021-03-09,323,3,,
2021-03-10,321,3,,
2021-03-11,319,3,,
2021-03-12,318,3,,
2021-03-13,317,3,,
2021-03-14,316,3,,
2021-03-15,315,3,,
2021-03-16,314,2,,
2021-03-17,313,2,,
2021-03-18,311,2,,
2021-03-19,309,2,,
2021-03-20,305,2,,
2021-03-21,301,2,,
2021-03-22,296,2,,
2021-03-23,289,2,,
2021-03-24,282,2,,
2021-03-25,274,2,,
2021-03-26,265,2,,
2021-03-27,255,2,,
2021-03-28,244,2,,
2021-03-29,234,2,,
2021-03-30,223,2,,
2021-03-31,212,2,,
2021-04-01,201,2,,
2021-04-02,191,2,,
2021-04-03,182,2,,
2021-04-04,174,2,,
2021-04-05,168,2,,
2021-04-06,163,2,,
2021-04-07,161,2,,
2021-04-08,162,2,,
2021-04-09,166,2,,
2021-04-10,174,2,,
2021-04-11,186,2,,
2021-04-12,203,2,,
2021-04-13,226,2,,
2021-04-14,254,2,,
2021-04-15,289,2,,
2021-04-16,330,2,,
2021-04-17,378,2,,
2021-04-18,433,2,,
2021-04-19,495,3,,
2021-04-20,564,3,,
2021-04-21,639,3,,
2021-04-22,719,3,,
2021-04-23,805,4,,
2021-04-24,895,4,,
2021-04-25,989,5,,
2021-04-26,1086,6,,
2021-04-27,1184,6,,
2021-04-28,1284,7,,
2021-04-29,1384,8,,
2021-04-30,1483,9,,
2021-05-01,1581,10,,
2021-05-02,1677,11,,
2021-05-03,1771,12,,
2021-05-04,1862,13,,
2021-05-05,1950,14,,
2021-05-06,2035,15,,
2021-05-07,2116,16,,
2021-05-08,2194,17,,
2021-05-09,2268,18,,
2021-05-10,2339,19,,
2021-05-11,2406,20,,
2021-05-12,2469,21,,
2021-05-13,2530,22,,
2021-05-14,2587,23,,
2021-05-15,2640,24,,
2021-05-16,2690,25,,
2021-05-17,2736,26,,
2021-05-18,2779,27,,
2021-05-19,2817,28,,
2021-05-20,2852,29,,
2021-05-21,2882,30,,
2021-05-22,2908,31,,
2021-05-23,2930,32,,
2021-05-24,2948,33,,
2021-05-25,2963,34,,
2021-05-26,2974,35,,
2021-05-27,2982,36,,
2021-05-28,2986,38,,
2021-05-29,2988,39,,
2021-05-30,2986,40,,
2021-05-31,2980,42,,
2021-06-01,2970,44,,
2021-06-02,2957,45,,
2021-06-03,2939,47,,
2021-06-04,2916,48,,
2021-06-05,2890,50,,
2021-06-06,2859,52,,
2021-06-07,2824,53,,
2021-06-08,2786,54,,
2021-06-09,2744,56,,
2021-06-10,2699,57,,
2021-06-11,2652,58,,
2021-06-12,2603,59,,
2021-06-13,2553,59,,
2021-06-14,2501,59,,
2021-06-15,2448,60,,
2021-06-16,2394,59,,
2021-06-17,2340,59,,
2021-06-18,2285,59,,
2021-06-19,2231,58,,
2021-06-20,2176,57,,
2021-06-21,2121,56,,
2021-06-22,2066,55,,
2021-06-23,2012,54,,
2021-06-24,1958,52,,
2021-06-25,1904,51,,
2021-06-26,1852,50,,
2021-06-27,1800,48,,
2021-06-28,1750,47,,
2021-06-29,1701,46,,
2021-06-30,1655,44,,
2021-07-01,1611,43,,
2021-07-02,1570,42,,
2021-07-03,1532,41,,
2021-07-04,1498,40,,
2021-07-05,1469,39,,
2021-07-06,1443,39,,
2021-07-07,1422,38,,
2021-07-08,1406,37,,
2021-07-09,1395,37,,
2021-07-10,1388,37,,
2021-07-11,1385,36,,
2021-07-12,1386,36,,
2021-07-13,1392,36,,
2021-07-14,1401,36,,
2021-07-15,1413,37,,
2021-07-16,1430,37,,
2021-07-17,1450,37,,
2021-07-18,1474,38,,
2021-07-19,1502,39,,
2021-07-20,1534,40,,
2021-07-21,1570,41,,
2021-07-22,1612,42,,
2021-07-23,1658,44,,
2021-07-24,1709,45,,
2021-07-25,1766,47,,
2021-07-26,1829,50,,
2021-07-27,1898,52,,
2021-07-28,1973,55,,
2021-07-29,2055,59,,
2021-07-30,2144,62,,
2021-07-31,2240,66,,
2021-08-01,2342,71,,
2021-08-02,2452,76,,
2021-08-03,2569,81,,
2021-08-04,2692,86,,
2021-08-05,2822,92,,
2021-08-06,2957,98,,
2021-08-07,3097,104,,
2021-08-08,3240,111,,
2021-08-09,3385,118,,
2021-08-10,3531,124,,
2021-08-11,3676,131,,
2021-08-12,3819,138,,
2021-08-13,3956,145,,
2021-08-14,4088,151,,
2021-08-15,4210,158,,
2021-08-16,4323,164,,
2021-08-17,4423,170,,
2021-08-18,4509,175,,
2021-08-19,4579,180,,
2021-08-20,4633,185,,
2021-08-21,4669,189,,
2021-08-22,4688,193,,
2021-08-23,4689,196,,
2021-08-24,4672,199,,
2021-08-25,4639,201,,
2021-08-26,4590,202,,
2021-08-27,4526,203,,
2021-08-28,4448,203,,
2021-08-29,4358,203,,
2021-08-30,4256,202,,
2021-08-31,4145,200,,
2021-09-01,4027,198,,
2021-09-02,3901,195,,
2021-09-03,3772,192,,
2021-09-04,3638,188,,
2021-09-05,3503,184,,
2021-09-06,3366,179,,
2021-09-07,3230,174,,
2021-09-08,3095,169,,
2021-09-09,2960,163,,
2021-09-10,2828,157,,
2021-09-11,2697,151,,
2021-09-12,2569,145,,
2021-09-13,2444,139,,
2021-09-14,2321,132,,
2021-09-15,2201,126,,
2021-09-16,2084,120,,
2021-09-17,1971,114,,
2021-09-18,1861,108,,
2021-09-19,1755,102,,
2021-09-20,1653,96,,
2021-09-21,1556,91,,
2021-09-22,1464,86,,
2021-09-23,1378,81,,
2021-09-24,1297,76,,
2021-09-25,1221,72,,
2021-09-26,1151,67,,
2021-09-27,1088,63,,
2021-09-28,1030,60,,
2021-09-29,977,56,,
2021-09-30,930,53,,
2021-10-01,888,50,,
2021-10-02,851,47,,
2021-10-03,818,44,,
2021-10-04,789,42,,
2021-10-05,763,39,,
2021-10-06,741,37,,
2021-10-07,721,35,,
2021-10-08,704,33,,
2021-10-09,688,31,,
2021-10-10,674,29,,
2021-10-11,661,28,,
2021-10-12,649,26,,
2021-10-13,637,25,,
2021-10-14,627,24,,
2021-10-15,617,22,,
2021-10-16,607,21,,
2021-10-17,598,20,,
2021-10-18,590,20,,
2021-10-19,582,19,,
2021-10-20,575,18,,
2021-10-21,569,18,,
2021-10-22,563,17,,
2021-10-23,559,17,,
2021-10-24,556,17,,
2021-10-25,553,16,,
2021-10-26,552,16,,
2021-10-27,553,16,,
2021-10-28,554,16,,
2021-10-29,557,16,,
2021-10-30,561,16,,
2021-10-31,566,16,,
2021-11-01,572,16,,
2021-11-02,579,17,,
2021-11-03,588,17,,
2021-11-04,597,17,,
2021-11-05,606,17,,
2021-11-06,617,17,,
2021-11-07,627,17,,
2021-11-08,638,17,,
2021-11-09,649,17,,
2021-11-10,659,18,,
2021-11-11,670,18,,
2021-11-12,679,18,,
2021-11-13,689,18,,
2021-11-14,697,18,,
2021-11-15,705,18,,
2021-11-16,711,18,,
